method,mean,std,order
SIREN (ours),0.924,0.033,1
CIRCA,0.723,0.081,2
BIGEN,0.894,0.035,3
CausalRCA,0.922,0.029,4
Traversal,0.505,0.111,5
Naive,0.438,0.122,6
