n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,CIRCA,Normal,3,0.04,0.96,1
15,2,CIRCA,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,CIRCA,Normal,3,0.3346555992574613,0.6363583611995308,3
15,2,CIRCA,Normal,3,0.4754354279246192,0.858175584160507,4
15,2,CIRCA,Normal,3,0.5371923710045114,0.8724074469266648,5
15,2,CIRCA,Normal,4,0.8,0.68,1
15,2,CIRCA,Normal,4,0.761630005349099,0.5407329893955651,2
15,2,CIRCA,Normal,4,0.8224450080236484,0.6204421244550746,3
15,2,CIRCA,Normal,4,0.8388147555430854,0.7155066485812073,4
15,2,CIRCA,Normal,4,0.8888084713696648,0.8056417794335397,5
15,2,CIRCA,Normal,5,0.51,0.28,1
15,2,CIRCA,Normal,5,0.5315831219911318,0.2103664946977825,2
15,2,CIRCA,Normal,5,0.6418103143387528,0.3207329893955651,3
15,2,CIRCA,Normal,5,0.6810977083854014,0.4157975135216978,4
15,2,CIRCA,Normal,5,0.719328196958668,0.5059326443740303,5
15,2,Shapley,Normal,1,0.47,0.66,1
15,2,Shapley,Normal,1,0.5395456153047581,0.4510994840933475,2
15,2,Shapley,Normal,1,0.6573746829866977,0.530808619152857,3
15,2,Shapley,Normal,1,0.7294015720722203,0.6258731432789898,4
15,2,Shapley,Normal,1,0.7646912538321589,0.7681917709405677,5
15,2,Shapley,Normal,3,0.28,0.34,1
15,2,Shapley,Normal,3,0.36633248796452733,0.21620710168494667,2
15,2,Shapley,Normal,3,0.3929390516346427,0.24686446132321962,3
15,2,Shapley,Normal,3,0.527170981294026,0.42643078467258133,4
15,2,Shapley,Normal,3,0.5918687311872464,0.5070780070141421,5
15,2,Shapley,Normal,2,0.56,0.76,1
15,2,Shapley,Normal,2,0.6367399893018021,0.6129959332508741,2
15,2,Shapley,Normal,2,0.7279624933136263,0.6375218209614926,3
15,2,Shapley,Normal,2,0.7901675338874868,0.685054083024559,4
15,2,Shapley,Normal,2,0.8107531815807844,0.8273727106861366,5
15,2,traversal,Normal,1,0.51,0.72,1
15,2,traversal,Normal,1,0.5855409269689613,0.5826672534317378,2
15,2,traversal,Normal,1,0.6130977250558667,0.737486919605016,3
15,2,traversal,Normal,1,0.7039498237887417,0.7731361161523158,4
15,2,traversal,Normal,1,0.7708531787919582,0.8383654871638723,5
15,2,naive,Normal,1,0.53,0.66,1
15,2,naive,Normal,1,0.5563793713224944,0.5284700455402559,2
15,2,naive,Normal,1,0.6247962493313626,0.6694938998763114,3
15,2,naive,Normal,1,0.7164668354402096,0.7275888868422813,4
15,2,naive,Normal,1,0.7723421648934454,0.8082361091838419,5
15,2,traversal,Normal,2,0.27,0.44,1
15,2,traversal,Normal,2,0.38910685839550524,0.41678883156592744,2
15,2,traversal,Normal,2,0.5006010299655127,0.5394182701190192,3
15,2,traversal,Normal,2,0.5819041093120496,0.5605437199248264,4
15,2,traversal,Normal,2,0.6715987171185599,0.7265821188633339,5
15,2,naive,Normal,2,0.28,0.24,1
15,2,naive,Normal,2,0.3999062332840657,0.29415939301283583,2
15,2,naive,Normal,2,0.5899531166420329,0.5087609104807463,3
15,2,naive,Normal,2,0.6226926116809068,0.5668558974467163,4
15,2,naive,Normal,2,0.6903311683874555,0.6759668453205926,5
15,2,traversal,Normal,3,0.33,0.15,1
15,2,traversal,Normal,3,0.3084168780088682,0.2737928983150533,2
15,2,traversal,Normal,3,0.4243454768572281,0.3427719575011674,3
15,2,traversal,Normal,3,0.48927880868432816,0.47612635940032566,4
15,2,traversal,Normal,3,0.5652496513619735,0.5911672500934343,5
15,2,naive,Normal,3,0.34,0.04,1
15,2,naive,Normal,3,0.469498731946791,0.24116345976196166,2
15,2,naive,Normal,3,0.5379156099556591,0.2902152351831983,3
15,2,naive,Normal,3,0.5902988020178574,0.3958424842122346,4
15,2,naive,Normal,3,0.6373517110311088,0.4670017980430235,5
15,2,Shapley,Normal,4,0.28,0.28,1
15,2,Shapley,Normal,4,0.39510998395270314,0.26452588771061836,2
15,2,Shapley,Normal,4,0.5471474906390769,0.41168121397432844,3
15,2,Shapley,Normal,4,0.6159004302207121,0.5067457381004611,4
15,2,Shapley,Normal,4,0.6835389869272608,0.6585522742728108,5
15,2,traversal,Normal,4,0.22,0.1,1
15,2,traversal,Normal,4,0.31392654940585146,0.2689257258257498,2
15,2,traversal,Normal,4,0.3718908488300315,0.38644560443912945,3
15,2,traversal,Normal,4,0.4709278213226251,0.48503103686622995,4
15,2,traversal,Normal,4,0.6236047083812477,0.6289309826129363,5
15,2,naive,Normal,4,0.18,0.14,1
15,2,naive,Normal,4,0.2519437399704394,0.3102152351831983,2
15,2,naive,Normal,4,0.30895780497782954,0.39605584217036255,3
15,2,naive,Normal,4,0.4006283910866767,0.5016830911993988,4
15,2,naive,Normal,4,0.5917808339530097,0.6440017188609766,5
15,2,Shapley,Normal,5,0.36,0.28,1
15,2,Shapley,Normal,5,0.4271474906390768,0.33415939301283587,2
15,2,Shapley,Normal,5,0.4879624933136263,0.5058406069871642,3
15,2,Shapley,Normal,5,0.5207019883525003,0.622030580919104,4
15,2,Shapley,Normal,5,0.5795181246190644,0.6884459404945072,5
15,2,DSM,Normal,1,0.15,0.94,1
15,2,DSM,Normal,1,0.27230435794974706,0.9013147192765458,2
15,2,DSM,Normal,1,0.39393436329884607,0.9687609104807463,3
15,2,DSM,Normal,1,0.50197469692713,0.9687609104807463,4
15,2,DSM,Normal,1,0.6107845490202736,0.9687609104807463,5
15,2,DSM,Normal,2,0.52,0.9,1
15,2,DSM,Normal,2,0.6207212359586153,0.7839441578296374,2
15,2,DSM,Normal,2,0.7005409269689615,0.8146015174679105,3
15,2,DSM,Normal,2,0.762745967542822,0.8726965044338805,4
15,2,DSM,Normal,2,0.7950948424894322,0.9153920927323537,5
15,2,traversal,Normal,5,0.82,0.0,1
15,2,traversal,Normal,5,0.7299903875480944,0.1289509357448472,2
15,2,traversal,Normal,5,0.7935927445118943,0.25464611026176626,3
15,2,traversal,Normal,5,0.8221852368458441,0.345309499011689,4
15,2,traversal,Normal,5,0.8439472072644727,0.42595672135324975,5
15,2,naive,Normal,5,0.44,0.26,1
15,2,naive,Normal,5,0.44959249866272527,0.2986852807234542,2
15,2,naive,Normal,5,0.5294121896730715,0.38452588771061835,3
15,2,naive,Normal,5,0.5719735332236076,0.4531835995794919,4
15,2,naive,Normal,5,0.6131448286102025,0.5480626846872104,5
15,2,DSM,Normal,3,0.1,0.98,1
15,2,DSM,Normal,3,0.3014424719172304,0.8407329893955651,2
15,2,DSM,Normal,3,0.42307247726632946,0.9327050683103838,3
15,2,DSM,Normal,3,0.48855146734407734,0.9538305181161911,4
15,2,DSM,Normal,3,0.5532492172372978,0.958574472371577,5
15,2,DSM,Normal,4,0.77,0.7,1
15,2,DSM,Normal,4,0.7676018753343188,0.5529959332508743,2
15,2,DSM,Normal,4,0.8322178156760275,0.7001512595145841,3
15,2,DSM,Normal,4,0.8682312602187888,0.7846530587378132,4
15,2,DSM,Normal,4,0.8888169079120862,0.8273486470362866,5
15,2,DSM,Normal,5,0.18,0.74,1
15,2,DSM,Normal,5,0.29031373462134047,0.6316812139743283,2
15,2,DSM,Normal,5,0.4271474906390768,0.6868644613232197,3
15,2,DSM,Normal,5,0.5057222787323743,0.7608035356435451,4
15,2,DSM,Normal,5,0.5763016422522512,0.8082430781974043,5
15,2,CIRCA,Normal,3,0.04,0.96,1
15,2,CIRCA,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,CIRCA,Normal,3,0.3346555992574613,0.6363583611995308,3
15,2,CIRCA,Normal,3,0.4754354279246192,0.858175584160507,4
15,2,CIRCA,Normal,3,0.5371923710045114,0.8724074469266648,5
15,2,CIRCA,Normal,3,0.98,0.0,1
15,2,CIRCA,Normal,3,0.7449837827632311,0.6309297535714576,2
15,2,CIRCA,Normal,3,0.7981969101034619,0.6309297535714576,3
15,2,CIRCA,Normal,3,0.8309364051423358,0.6309297535714576,4
15,2,CIRCA,Normal,3,0.8691668937156024,0.6309297535714576,5
15,2,DSM,Normal,3,1.0,0.0,1
15,2,DSM,Normal,3,0.7601875334318684,0.6309297535714576,2
15,2,DSM,Normal,3,0.8286044114407366,0.6309297535714576,3
15,2,DSM,Normal,3,0.8646178559834979,0.6309297535714576,4
15,2,DSM,Normal,3,0.8734402764234825,0.6309297535714576,5
